;January;February;March;April;May;June;July;August;September;October;November;December;;;
Alabama; Sweet Potatoes;Sweet Potatoes;Sweet Potatoes, Strawberries;Squash, Strawberries, Sweet Potatoes;Peaches, Peas, Potatoes, Squash, Strawberries, Sweet Potatoes;Bell Pepper, Blueberries, Cantaloupe, Corn, Cucumbers, Eggplant, , Okra, Peaches, Peas, Potatoes, Snap Peas, Squash, Sweet Potatoes, Tomatoes, Watermelon;Apples, Blueberries, Cantaloupe, Corn, Cucumbers, Eggplant, , Okra, Peaches, Peas, Potatoes, Snap Peas, Squash, Sweet Potatoes, Tomatoes, Watermelon;Apples, Cantaloupe, Corn, Cucumbers, Eggplant, , Okra, Peaches, Peas, Potatoes, Snap Peas, Squash, Sweet Potatoes, Tomatoes, Watermelon;Apples, Cantaloupe, Corn, Cucumbers, Eggplant, , Okra, Peas, Pumpkin, Snap Peas, Squash, Sweet Potatoes, Tomatoes, Watermelon;Cucumbers, , Peas, Pumpkin, Snap Peas, Sweet Potatoes, Tomatoes,;Cucumbers, Snap Peas, Sweet Potatoes;Snap Peas;;;
Alaska;Carrots, Potatoes;Carrots, Potatoes;Carrots, Potatoes;Carrots, Potatoes;Potatoes, Tomatoes;Broccoli, Cucumbers, Lettuce, Potatoes, Scallions, Snap Peas, Tomatoes;Blueberries, Broccoli, Cabbage, Cauliflower, Cucumbers, Currants, Lettuce, Peas, Potatoes, Radishes, Raspberries, Scallions, Snap Peas, Squash, Strawberries, Tomatoes;Apples, Blueberries, Broccoli, Brussels Sprouts, Cabbage, Carrots, Cauliflower, Celery, Cucumbers, Currants, Lettuce, Onions, Peas, Potatoes, Radishes, Rhubarb, Rutabaga, Scallions, Snap Peas, Squash, Strawberries, Tomatoes, Turnips;Brussels Sprouts, Cabbage, Carrots, Cucumbers, Lettuce, Onions, Potatoes, Radishes, Rhubarb, Rutabaga, Scallions, Snap Peas, Squash, Turnips;Cabbage, Carrots, Potatoes, Rhubarb, Snap Peas, Squash,;Cabbage, Carrots, Potatoes, Snap Peas,;Carrots, Potatoes, Snap Peas,;;;
Arizona;growing season is dormant;growing season is dormant;growing season is dormant;growing season is dormant;growing season is dormant;Blueberries, Snap Peas;Blueberries, Corn, Cucumbers, , Okra, Snap Peas, Squash;Apples, Blueberries, Corn, Cucumbers, , Okra, Peaches, Snap Peas, Squash, Tomatoes;Apples, Corn, Cucumbers, , Okra, Peaches, Snap Peas, Squash, Tomatoes;Pumpkin, Snap Peas, Squash;Pumpkin, Snap Peas, Squash;Snap Peas;;;
Arkansas;growing season is dormant;growing season is dormant;Asparagus;Asparagus;Broccoli, Cabbage, Cucumbers, Peas, Potatoes, Rhubarb, Strawberries;Blackberries, Cherries, Cucumbers, Eggplant, Nectarines, Peaches, Potatoes, Rhubarb, Snap Peas, Squash, Strawberries;Blackberries, Cantaloupe, Cherries, Corn, Cucumbers, Eggplant, Nectarines, Peaches, Potatoes, Raspberries, Snap Peas, Squash, Tomatoes;Apples, Asian Pears, Cantaloupe, Corn, Cucumbers, Eggplant, Nectarines, Peaches, Pears, Raspberries, Snap Peas, Squash, Tomatoes, Watermelon;Apples, Asian Pears, Cantaloupe, Corn, Cucumbers, Eggplant, Peaches, Pears, Pumpkin, Raspberries, Snap Peas, Squash, Sweet Potatoes, Tomatoes, Watermelon;Apples, Asian Pears, Broccoli, Cabbage, Pumpkin, Snap Peas, Squash, Sweet Potatoes, Tomatoes, Watermelon;Broccoli, Cabbage, Snap Peas;Snap Peas;;;
California;Apples, Asparagus, Avocados, Beets, Bok Choy, Broccoli, Cabbage, Carrots, Cauliflower, Celery, Fennel, Grapefruit, Kale, Lettuce, Mushrooms, Okra, Onions, Oranges, Pears, Potatoes, Radishes, Rutabaga, Scallions, Spinach, Squash, Strawberries, Turnips;Apples, Asparagus, Avocados, Beets, Bok Choy, Broccoli, Brussels Sprouts, Cabbage, Carrots, Cauliflower, Celery, Fennel, Grapefruit, Kale, Lettuce, Mushrooms, Okra, Onions, Oranges, Pears, Potatoes, Radishes, Rutabaga, Scallions, Spinach, Squash, Strawberries, Turnips;Apples, Asparagus, Avocados, Beets, Bok Choy, Broccoli, Cabbage, Carrots, Cauliflower, Celery, Fennel, Grapefruit, Kale, Lettuce, Mushrooms, Okra, Onions, Oranges, Potatoes, Radishes, Rutabaga, Scallions, Spinach, Strawberries, Tomatoes, Turnips;Apples, Asparagus, Avocados, Beets, Bok Choy, Broccoli, Cabbage, Carrots, Cauliflower, Celery, Cherries, Fennel, Grapefruit, Kale, Lettuce, Mushrooms, Nectarines, Okra, Onions, Oranges, Peas, Potatoes, Radishes, Raspberries, Rhubarb, Rutabaga, Scallions, Spinach, Strawberries, Tomatoes, Turnips;Apples, Apricots, Asian Pears, Asparagus, Avocados, Beets, Blackberries, Blueberries, Bok Choy, Broccoli, Cabbage, Carrots, Cauliflower, Celery, Cherries, Cucumbers, Eggplant, Fennel, Grapefruit, Kale, Lettuce, Mushrooms, Nectarines, Okra, Onions, Oranges, Peaches, Peas, Potatoes, Radishes, Raspberries, Rhubarb, Scallions, Spinach, Squash, Strawberries, Tomatoes;Apples, Apricots, Asian Pears, Asparagus, Avocados, Beets, Blackberries, Blueberries, Bok Choy, Broccoli, Cabbage, Carrots, Cauliflower, Celery, Cherries, Cucumbers, Eggplant, Fennel, Grapefruit, Grapes, Kale, Lettuce, Mushrooms, Nectarines, Okra, Onions, Oranges, Peaches, Pears, Peas, Radishes, Raspberries, Rhubarb, Scallions, Snap Peas, Spinach, Squash, Strawberries, Tomatoes;Apples, Apricots, Asian Pears, Asparagus, Avocados, Beets, Blackberries, Blueberries, Broccoli, Brussels Sprouts, Cabbage, Carrots, Celery, Cherries, Cucumbers, Eggplant, Fennel, Grapefruit, Grapes, Lettuce, Mushrooms, Nectarines, Okra, Onions, Oranges, Peaches, Pears, Peas, Potatoes, Radishes, Raspberries, Rhubarb, Scallions, Snap Peas, Spinach, Squash, Strawberries, Tomatoes;Apples, Asian Pears, Asparagus, Avocados, Beets, Broccoli, Brussels Sprouts, Cabbage, Carrots, Celery, Cucumbers, Eggplant, Fennel, Grapefruit, Grapes, Lettuce, Mushrooms, Nectarines, Okra, Onions, Oranges, Peaches, Pears, Peas, Potatoes, Radishes, Raspberries, Rhubarb, Scallions, Snap Peas, Spinach, Squash, Strawberries, Tomatoes;Apples, Asian Pears, Asparagus, Avocados, Beets, Bok Choy, Broccoli, Brussels Sprouts, Cabbage, Carrots, Cauliflower, Celery, Cucumbers, Eggplant, Fennel, Grapefruit, Grapes, Kale, Lettuce, Mushrooms, Nectarines, Okra, Onions, Oranges, Peaches, Pears, Peas, Potatoes, Radishes, Raspberries, Rhubarb, Scallions, Snap Peas, Spinach, Squash, Strawberries, Sweet Potatoes, Tomatoes, Turnips;Apples, Asian Pears, Asparagus, Avocados, Beets, Bok Choy, Broccoli, Brussels Sprouts, Cabbage, Carrots, Cauliflower, Celery, Cucumbers, Eggplant, Fennel, Grapefruit, Grapes, Kale, Lettuce, Mushrooms, Nectarines, Okra, Onions, Oranges, Peaches, Pears, Peas, Potatoes, Radishes, Raspberries, Rhubarb, Rutabaga, Scallions, Snap Peas, Spinach, Squash, Strawberries, Sweet Potatoes, Tomatoes, Turnips;Apples, Asparagus, Avocados, Beets, Bok Choy, Broccoli, Brussels Sprouts, Cabbage, Carrots, Cauliflower, Celery, Cucumbers, Eggplant, Fennel, Grapefruit, Grapes, Kale, Lettuce, Mushrooms, Okra, Onions, Oranges, Peaches, Pears, Peas, Potatoes, Radishes, Raspberries, Rhubarb, Rutabaga, Scallions, Snap Peas, Spinach, Squash, Sweet Potatoes, Tomatoes, Turnips;Apples, Avocados, Beets, Bok Choy, Broccoli, Brussels Sprouts, Cabbage, Carrots, Cauliflower, Celery, Cucumbers, Fennel, Grapefruit, Grapes, Kale, Lettuce, Mushrooms, Okra, Onions, Oranges, Pears, Potatoes, Radishes, Rutabaga, Scallions, Snap Peas, Spinach, Squash, Sweet Potatoes, Tomatoes, Turnips;;;
Colorado;Apples, Onions, Potatoes;Apples, Onions, Potatoes;Apples, Potatoes;Apples, Potatoes;Apples, Asparagus, Potatoes, Rhubarb;Cherries, Lettuce, Potatoes, Rhubarb, Snap Peas, Strawberries;Apricots, Beets, Broccoli, Cabbage, Celery, Corn, Cucumbers, Lettuce, Potatoes, Rhubarb, Snap Peas, Strawberries, Tomatoes;Apples, Beets, Broccoli, Cabbage, Cantaloupe, Carrots, Cauliflower, Celery, Corn, Cucumbers, Eggplant, Lettuce, Onions, Peaches, Pears, Potatoes, Raspberries, Rhubarb, Snap Peas, Squash, Strawberries, Tomatoes;Apples, Beets, Broccoli, Cabbage, Cantaloupe, Carrots, Cauliflower, Celery, Corn, Cucumbers, Eggplant, Grapes, Lettuce, Onions, Pears, Potatoes, Pumpkin, Raspberries, Rhubarb, Snap Peas, Squash, Strawberries, Tomatoes, Watermelon;Apples, Cabbage, Carrots, Cauliflower, Lettuce, Onions, Potatoes, Pumpkin, Snap Peas, Squash;Apples, Carrots, Onions, Potatoes, Snap Peas, Squash;Apples, Onions, Potatoes, Snap Peas;;;
Connecticut;Mushrooms;Mushrooms;Mushrooms, Tomatoes;Mushrooms, Spinach, Tomatoes;Lettuce, Mushrooms, Spinach, Tomatoes;Broccoli, Cabbage, Cauliflower, Cherries, Cucumbers, Lettuce, Mushrooms, Raspberries, Snap Peas, Spinach, Squash, Strawberries, Tomatoes;Apples, Beets, Blueberries, Broccoli, Cabbage, Cantaloupe, Carrots, Cauliflower, Cherries, Corn, Cucumbers, Eggplant, Lettuce, Mushrooms, Onions, Peaches, Potatoes, Raspberries, Snap Peas, Squash, Tomatoes;Apples, Beets, Blueberries, Broccoli, Cabbage, Cantaloupe, Carrots, Corn, Cucumbers, Eggplant, Lettuce, Mushrooms, Nectarines, Onions, Peaches, Pears, Potatoes, Snap Peas, Squash, Tomatoes, Watermelon;Apples, Beets, Broccoli, Cabbage, Cantaloupe, Carrots, Cauliflower, Corn, Cucumbers, Eggplant, Lettuce, Mushrooms, Nectarines, Onions, Peaches, Pears, Potatoes, Raspberries, Snap Peas, Squash, Tomatoes, Turnips, Watermelon;Apples, Beets, Cantaloupe, Carrots, Cauliflower, Lettuce, Mushrooms, Onions, Pears, Potatoes, Raspberries, Snap Peas, Squash, Tomatoes, Turnips, Watermelon;Apples, Carrots, Mushrooms, Onions, Pears, Potatoes, Snap Peas, Squash, Turnips,;Apples, Mushrooms, Pears, Potatoes, Snap Peas, Squash, Turnips;;;
Delaware;Mushrooms;Mushrooms;Mushrooms;Asparagus, Mushrooms, Spinach, Turnips;Asparagus, Mushrooms, Peas, Spinach, Strawberries;Blueberries, Broccoli, Cabbage, Cantaloupe, Cauliflower, Corn, Cucumbers, Mushrooms, Peaches, Peas, Potatoes, Snap Peas, Squash, Tomatoes;Apples, Brussels Sprouts, Cantaloupe, Carrots, Corn, Cucumbers, Eggplant, , Mushrooms, Peaches, Potatoes, Snap Peas, Squash, Tomatoes, Watermelon;Apples, Brussels Sprouts, Cabbage, Cantaloupe, Carrots, Cauliflower, Corn, Cucumbers, Eggplant, , Mushrooms, Peaches, Potatoes, Pumpkin, Snap Peas, Squash, Tomatoes, Turnips, Watermelon;Apples, Brussels Sprouts, Cabbage, Carrots, Cauliflower, Cucumbers, Eggplant, , Mushrooms, Pumpkin, Snap Peas, Squash, Sweet Potatoes, Tomatoes, Turnips, Watermelon;Apples, Brussels Sprouts, Cabbage, Carrots, Cauliflower, Mushrooms, Pumpkin, Snap Peas, Sweet Potatoes, Turnips;Mushrooms, Snap Peas, Sweet Potatoes;Mushrooms, Snap Peas;;;
Florida;Avocados, Broccoli, Cabbage, Carrots, Cauliflower, Celery, Corn, Cucumbers, Eggplant, Grapefruit, Mushrooms, Okra, Onions, Oranges, Potatoes, Radishes, Squash, Strawberries, Tomatoes;Avocados, Broccoli, Cabbage, Carrots, Cauliflower, Celery, Corn, Cucumbers, Eggplant, Grapefruit, Mushrooms, Okra, Onions, Oranges, Potatoes, Radishes, Spinach, Squash, Strawberries, Tomatoes;Avocados, Broccoli, Cabbage, Cantaloupe, Carrots, Cauliflower, Celery, Corn, Cucumbers, Eggplant, Grapefruit, Mushrooms, Okra, Onions, Oranges, Potatoes, Radishes, Spinach, Squash, Strawberries, Tomatoes;Blueberries, Broccoli, Cabbage, Cantaloupe, Carrots, Cauliflower, Celery, Corn, Cucumbers, Eggplant, Grapefruit, Mushrooms, Okra, Onions, Oranges, Potatoes, Radishes, Squash, Strawberries, Tomatoes, Watermelon;Blackberries, Blueberries, Broccoli, Cabbage, Cantaloupe, Carrots, Cauliflower, Celery, Corn, Cucumbers, Eggplant, Grapefruit, Mushrooms, Okra, Onions, Oranges, Potatoes, Radishes, Squash, Strawberries, Tomatoes, Watermelon;Avocados, Blackberries, Blueberries, Cabbage, Cantaloupe, Carrots, Celery, Corn, Cucumbers, Eggplant, Grapefruit, Mushrooms, Okra, Onions, Oranges, Potatoes, Radishes, Snap Peas, Squash, Tomatoes, Watermelon;Asian Pears, Avocados, Blackberries, Cantaloupe, Corn, Grapefruit, Mushrooms, Okra, Onions, Oranges, Potatoes, Snap Peas, Tomatoes, Watermelon;Asian Pears, Avocados, Blackberries, Grapes, Mushrooms, Okra, Onions, Snap Peas;Asian Pears, Avocados, Blackberries, Corn, Eggplant, Grapes, Mushrooms, Okra, Onions, Snap Peas, Squash, Tomatoes;Asian Pears, Avocados, Corn, Eggplant, Grapefruit, Mushrooms, Okra, Onions, Oranges, Radishes, Snap Peas, Squash, Tomatoes;Avocados, Broccoli, Cabbage, Carrots, Cauliflower, Celery, Corn, Cucumbers, Eggplant, Grapefruit, Mushrooms, Okra, Onions, Oranges, Radishes, Snap Peas, Squash, Strawberries, Tomatoes;Avocados, Broccoli, Cabbage, Carrots, Cauliflower, Celery, Corn, Cucumbers, Eggplant, Grapefruit, Mushrooms, Okra, Onions, Oranges, Radishes, Snap Peas, Squash, Strawberries, Tomatoes;;;
Georgia;Carrots;Carrots;Carrots, Strawberries;Blueberries, Cabbage, Carrots, Strawberries, Zucchini;Blueberries, Cabbage, Carrots, Corn, Cucumbers, Peaches, Strawberries, Tomatoes, Zucchini;Blueberries, Carrots, Corn, Cucumbers, Grapes, Peaches, Snap Peas, Tomatoes, Zucchini;Blueberries, Corn, Cucumbers, Grapes, Peaches, Snap Peas, Tomatoes;Apples, Corn, Grapes, Snap Peas;Apples, Corn, Cucumbers, Grapes, Snap Peas, Sweet Potatoes, Zucchini;Apples, Cabbage, Corn, Cucumbers, Grapes, Snap Peas, Sweet Potatoes, Tomatoes, Zucchini;Apples, Cabbage, Cucumbers, Snap Peas, Sweet Potatoes, Zucchini;Apples, Cabbage, Carrots, Snap Peas;;;
